gameMode,win,ally0_kills,ally0_assists,ally0_death,ally0_role,ally0_champion,ally0_vision_score,ally0_total_damage,ally0_item0,ally0_item2,ally0_item1,ally0_item3,ally0_item4,ally0_item5,ally0_item6,ally0_minions,ally1_kills,ally1_assists,ally1_death,ally1_role,ally1_champion,ally1_vision_score,ally1_total_damage,ally1_item0,ally1_item2,ally1_item1,ally1_item3,ally1_item4,ally1_item5,ally1_item6,ally1_minions,ally2_kills,ally2_assists,ally2_death,ally2_role,ally2_champion,ally2_vision_score,ally2_total_damage,ally2_item0,ally2_item2,ally2_item1,ally2_item3,ally2_item4,ally2_item5,ally2_item6,ally2_minions,ally3_kills,ally3_assists,ally3_death,ally3_role,ally3_champion,ally3_vision_score,ally3_total_damage,ally3_item0,ally3_item2,ally3_item1,ally3_item3,ally3_item4,ally3_item5,ally3_item6,ally3_minions,me_kills,me_assists,me_death,me_role,me_champion,me_vision_score,me_total_damage,me_item0,me_item2,me_item1,me_item3,me_item4,me_item5,me_item6,me_minions,enemy4_kills,enemy4_assists,enemy4_death,enemy4_role,enemy4_champion,enemy4_vision_score,enemy4_total_damage,enemy4_item0,enemy4_item2,enemy4_item1,enemy4_item3,enemy4_item4,enemy4_item5,enemy4_item6,enemy4_minions,enemy0_kills,enemy0_assists,enemy0_death,enemy0_role,enemy0_champion,enemy0_vision_score,enemy0_total_damage,enemy0_item0,enemy0_item2,enemy0_item1,enemy0_item3,enemy0_item4,enemy0_item5,enemy0_item6,enemy0_minions,enemy1_kills,enemy1_assists,enemy1_death,enemy1_role,enemy1_champion,enemy1_vision_score,enemy1_total_damage,enemy1_item0,enemy1_item2,enemy1_item1,enemy1_item3,enemy1_item4,enemy1_item5,enemy1_item6,enemy1_minions,enemy2_kills,enemy2_assists,enemy2_death,enemy2_role,enemy2_champion,enemy2_vision_score,enemy2_total_damage,enemy2_item0,enemy2_item2,enemy2_item1,enemy2_item3,enemy2_item4,enemy2_item5,enemy2_item6,enemy2_minions,enemy3_kills,enemy3_assists,enemy3_death,enemy3_role,enemy3_champion,enemy3_vision_score,enemy3_total_damage,enemy3_item0,enemy3_item2,enemy3_item1,enemy3_item3,enemy3_item4,enemy3_item5,enemy3_item6,enemy3_minions
ARAM,True,4,35,3,SUPPORT,40,0,48892,3070,3020,3112,6653,3116,1058,2052,20,12,28,5,SUPPORT,76,0,58467,2420,4628,3020,3089,6655,3108,2052,41,5,15,7,DUO,58,0,51402,6691,2031,3047,6693,6333,0,0,71,18,16,2,SUPPORT,145,0,38188,6655,3020,0,3145,3089,0,2052,25,12,21,7,SUPPORT,68,0,64935,6653,4637,3020,3165,1052,1028,0,54,0,12,9,SUPPORT,69,0,41886,6655,2031,3070,4645,3155,0,0,39,10,11,9,DUO,81,0,100638,3508,3158,3042,6691,6694,0,2052,85,4,10,13,SUPPORT,157,0,56222,3006,3031,3087,3153,0,0,2052,60,0,19,10,SUPPORT,16,0,22334,6657,3083,3158,3116,0,0,2052,8,10,5,10,SUPPORT,80,0,26258,3748,0,0,6691,6676,3047,2052,7
ARAM,True,19,20,5,SUPPORT,31,0,41671,3084,3068,3083,3111,3075,0,2052,11,12,27,11,SUPPORT,96,0,64163,3153,3091,3124,1001,3085,1036,2052,30,14,21,6,SUPPORT,119,0,56681,3057,3006,6691,3094,3072,3035,0,41,7,38,8,DUO,15,0,86393,6691,3814,3158,3004,6676,0,2052,84,4,34,4,SUPPORT,57,0,34331,2051,6665,3070,3047,3075,0,0,33,3,11,12,SUPPORT,420,0,43486,6632,3071,3111,3044,0,0,2052,33,2,18,7,SUPPORT,412,0,18391,6665,3111,2031,4401,3076,1011,2052,12,10,11,13,SUPPORT,21,0,59030,6696,3006,6692,1018,6694,0,2052,37,4,12,16,SUPPORT,245,0,41570,3152,3113,3157,3020,0,0,2052,14,15,11,8,DUO,236,0,95087,6671,3508,3158,6676,3094,3035,2052,89
ARAM,True,10,37,6,NONE,99,0,66643,6655,4645,3020,3135,3916,3145,0,35,12,33,9,DUO,30,0,84974,6655,3089,3040,3020,4645,0,0,48,9,26,13,SUPPORT,145,0,59672,6672,6676,3006,3124,4645,1036,0,46,14,32,8,DUO,45,0,98357,6655,3089,3070,3020,4645,3135,0,71,17,31,8,CARRY,895,0,95766,6676,3031,3006,6673,6333,1053,2052,89,9,16,7,SUPPORT,110,0,69988,6692,3006,3156,3070,6694,6672,0,34,4,25,13,SOLO,31,0,34592,4401,6656,3111,3075,1026,1052,2052,21,3,20,14,SOLO,50,0,86972,2420,6653,3020,4637,3065,3191,2052,61,18,16,13,SUPPORT,11,0,59792,3091,6691,3006,6676,6696,3153,0,31,10,22,15,CARRY,18,0,89209,6672,3006,6691,6676,3072,3133,0,83
CLASSIC,True,11,8,0,SOLO,86,20,269975,4401,3181,6631,3111,3071,3075,3363,298,9,9,10,SOLO,157,23,208883,6672,3006,3031,6673,1053,1043,3340,196,14,14,12,CARRY,21,32,172863,6694,3814,3142,3006,6676,3004,3340,158,7,13,5,SUPPORT,99,86,108467,3853,3145,3020,6655,3089,1058,3364,54,4,26,3,NONE,154,25,237091,6665,3111,3068,3075,4637,0,3340,50,1,12,10,SUPPORT,25,67,65803,3157,3020,3853,6653,1052,1011,3364,41,0,5,8,SOLO,54,14,164219,1056,6662,3047,3075,3082,3024,3340,190,2,6,11,NONE,19,32,241077,3078,3047,3748,3193,0,0,3340,28,7,2,6,SOLO,84,24,173037,1056,3152,3157,3020,3145,3089,3340,233,20,4,10,CARRY,119,25,257751,3072,3006,3031,6676,3036,3094,3340,219
ARAM,False,4,11,11,SUPPORT,266,0,31928,3044,6692,3047,6333,0,0,0,26,11,20,9,SUPPORT,103,0,50299,4628,6656,3020,3089,1026,0,2052,27,10,10,10,SUPPORT,145,0,39477,6672,6675,3006,1053,1018,1038,2052,45,10,9,14,SUPPORT,360,0,47683,6691,6676,3006,6673,3133,1029,2052,43,5,18,9,SUPPORT,54,0,34980,4636,3020,4628,3108,4632,0,2052,19,16,22,4,SUPPORT,110,0,49914,6691,6676,3158,3004,1036,0,2052,37,7,32,5,SUPPORT,111,0,25121,1011,3083,3076,3070,2051,3084,0,10,9,36,10,SUPPORT,15,0,73595,3042,3006,6691,6676,0,0,2052,59,12,18,11,SUPPORT,122,0,37485,3047,3071,6631,3065,3066,1028,2052,24,9,24,10,SUPPORT,96,0,52710,6653,3115,3006,3040,3916,0,2052,42
ARAM,False,10,24,10,SUPPORT,25,0,125292,6653,3157,3165,4637,3116,3089,2052,56,15,20,17,SUPPORT,360,0,143881,6691,3074,6673,3814,6676,3075,0,115,20,22,14,DUO,21,0,297137,3036,3006,6691,6672,6676,3072,0,215,18,31,14,SUPPORT,876,0,164690,4637,3020,6653,3102,3089,3157,2052,42,6,34,7,SUPPORT,106,0,114873,6665,3091,3065,4401,3068,3075,0,79,15,25,11,SUPPORT,17,0,147556,4637,6653,4629,3158,3040,3089,2052,85,10,22,16,SUPPORT,9,0,102802,3157,3089,3116,3158,4645,6653,2052,55,14,23,10,SUPPORT,36,0,262817,3748,3083,3084,3075,3065,3068,0,152,5,28,18,SUPPORT,22,8,89001,6672,3006,3124,3153,3036,3085,0,76,18,18,14,SUPPORT,236,0,187657,6672,6676,6671,3072,3036,3153,2052,114
ARAM,True,10,24,9,SUPPORT,15,0,126470,6675,3006,3087,3072,3036,1036,2052,90,11,22,11,SUPPORT,74,0,63656,2421,3191,3116,4637,6653,3020,2052,49,4,15,7,SUPPORT,62,0,27831,3111,3748,6667,0,3083,2051,2052,18,11,14,7,SUPPORT,21,0,86047,1018,3006,6691,6676,3036,6672,2052,76,9,17,7,SUPPORT,875,0,46022,3748,3111,3078,3044,4401,3076,0,35,8,23,5,SUPPORT,143,0,85131,6653,4637,3020,3116,3089,0,2052,42,9,23,9,SUPPORT,235,0,75667,6692,3042,3009,3094,3036,3134,2052,35,10,14,11,DUO,96,0,100525,3124,3153,3006,3042,3085,0,2052,81,12,9,14,SUPPORT,517,0,51386,4636,4645,3020,3089,3108,3113,2052,17,2,21,6,SOLO,34,0,66133,6657,4637,3040,3020,3116,0,2052,53
ARAM,True,6,29,7,SUPPORT,55,0,33961,3084,3068,3047,3077,1011,1028,2052,32,10,26,8,SUPPORT,85,0,53203,3157,4636,3020,4629,0,0,2052,30,23,23,8,SUPPORT,59,0,47497,3161,3110,6630,3111,3075,0,2052,37,10,30,5,SUPPORT,112,0,50517,6653,1058,4645,3020,1058,1052,2052,25,6,22,8,SUPPORT,420,0,41104,6333,6662,3047,3076,1011,0,2052,35,5,10,11,SUPPORT,777,0,40751,3184,3087,6665,3006,1053,0,2052,26,4,17,11,SUPPORT,122,0,27507,2031,3111,6631,2051,3066,1028,2052,14,2,18,13,SUPPORT,127,0,33047,6655,4645,3020,0,0,0,2052,18,22,6,11,SUPPORT,119,0,72412,6676,3031,3006,3036,3072,3086,2052,53,2,24,9,SUPPORT,222,0,46981,6672,3031,3006,3086,1036,1036,2052,40
ARAM,True,17,28,6,SUPPORT,161,0,90789,6655,4628,3040,3020,4645,0,0,50,16,28,5,SUPPORT,145,0,79672,6655,4628,3020,4645,3135,3916,0,57,13,27,11,DUO,8,0,75233,4636,4629,3020,4645,3135,1058,2052,57,10,36,11,DUO,3,0,71849,6665,3111,3110,3068,3075,3082,0,52,12,30,6,DUO,50,0,78541,6653,3116,3157,4637,1058,3020,2052,59,1,13,9,SUPPORT,77,0,21830,6665,4401,3111,3065,1057,1028,0,26,9,14,15,SOLO,35,0,66664,6653,4637,3158,4645,3165,0,2052,29,10,14,14,DUO,6,0,108551,3074,3111,3071,6609,3156,0,2052,72,11,11,15,SUPPORT,236,0,82250,6675,3158,3508,6672,3094,1053,2052,71,8,15,15,SUPPORT,238,0,57600,6691,3074,3158,6694,3133,1036,2052,27
ARAM,False,11,33,16,SUPPORT,9,12,99355,3112,3065,3157,3111,6665,3083,3330,55,12,32,14,SUPPORT,136,0,116768,6653,3116,1058,4637,3135,4645,0,85,6,40,10,SUPPORT,888,0,56268,2065,3111,3040,4005,3011,3504,0,32,23,21,16,SUPPORT,103,0,114417,6655,4628,3108,4645,3089,4637,2052,80,19,39,6,SUPPORT,25,0,141781,6655,4645,3157,3135,3089,3020,2052,77,11,21,22,SUPPORT,54,0,55060,4636,3135,3020,4629,3089,3145,2052,22,17,16,13,DUO,21,0,133666,6691,6676,3006,3036,3072,6672,2052,125,13,30,14,SUPPORT,4,0,119171,6655,3094,3020,3100,4645,3089,2052,68,2,23,13,SUPPORT,57,0,49747,6665,4401,3111,4637,3165,1033,0,38,19,22,9,SUPPORT,35,0,109525,6653,4637,3020,3135,3165,3089,2052,62
